COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2006-02-19 13:33:00,41107.820512820515,2.0,0.0,0.0,0.0,0.0,0.0,5.628205128205128,0.0,0.0,0.08974358974358974,0.0,0.0,1.0,0.9102564102564102,1.9102564102564104
2006-03-05 13:33:00,41124.794871794875,2.0,0.0,0.0,0.0,0.0,0.0,5.717948717948718,0.0,0.0,0.10256410256410256,0.0,0.0,1.0,0.8974358974358975,1.8974358974358974
2006-03-19 13:33:00,41141.769230769234,2.0,0.0,0.0,0.0,0.0,0.0,5.8076923076923075,0.0,0.0,0.11538461538461538,0.0,0.0,1.0,0.8846153846153846,1.8846153846153846
2006-04-02 13:33:00,41158.743589743586,2.0,0.0,0.0,0.0,0.0,0.0,5.897435897435898,0.0,0.0,0.1282051282051282,0.0,0.0,1.0,0.8717948717948718,1.8717948717948718
2006-04-16 13:33:00,41175.717948717946,2.0,0.0,0.0,0.0,0.0,0.0,5.987179487179487,0.0,0.0,0.14102564102564102,0.0,0.0,1.0,0.858974358974359,1.858974358974359
2006-04-30 13:33:00,41192.692307692305,2.0,0.0,0.0,0.0,0.0,0.0,6.076923076923077,0.0,0.0,0.15384615384615385,0.0,0.0,1.0,0.8461538461538461,1.8461538461538463
2006-05-14 13:33:00,41209.666666666664,2.0,0.0,0.0,0.0,0.0,0.0,6.166666666666667,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,0.8333333333333334,1.8333333333333333
2006-05-28 13:33:00,41226.64102564102,2.0,0.0,0.0,0.0,0.0,0.0,6.256410256410256,0.0,0.0,0.1794871794871795,0.0,0.0,1.0,0.8205128205128205,1.8205128205128205
2006-06-11 13:33:00,41243.61538461538,2.0,0.0,0.0,0.0,0.0,0.0,6.346153846153847,0.0,0.0,0.1923076923076923,0.0,0.0,1.0,0.8076923076923077,1.8076923076923077
2006-06-25 13:33:00,41260.58974358974,2.0,0.0,0.0,0.0,0.0,0.0,6.435897435897436,0.0,0.0,0.20512820512820512,0.0,0.0,1.0,0.7948717948717949,1.794871794871795
2006-07-09 13:33:00,41277.5641025641,2.0,0.0,0.0,0.0,0.0,0.0,6.5256410256410255,0.0,0.0,0.21794871794871795,0.0,0.0,1.0,0.782051282051282,1.782051282051282
2006-07-23 13:33:00,41294.53846153846,2.0,0.0,0.0,0.0,0.0,0.0,6.615384615384615,0.0,0.0,0.23076923076923075,0.0,0.0,1.0,0.7692307692307693,1.7692307692307692
2006-08-06 13:33:00,41311.51282051282,2.0,0.0,0.0,0.0,0.0,0.0,6.705128205128205,0.0,0.0,0.24358974358974358,0.0,0.0,1.0,0.7564102564102564,1.7564102564102564
2006-08-20 13:33:00,41328.48717948718,2.0,0.0,0.0,0.0,0.0,0.0,6.794871794871795,0.0,0.0,0.2564102564102564,0.0,0.0,1.0,0.7435897435897436,1.7435897435897436
2006-09-03 13:33:00,41345.46153846154,2.0,0.0,0.0,0.0,0.0,0.0,6.884615384615385,0.0,0.0,0.2692307692307692,0.0,0.0,1.0,0.7307692307692308,1.7307692307692308
2006-09-17 13:33:00,41362.4358974359,2.0,0.0,0.0,0.0,0.0,0.0,6.9743589743589745,0.0,0.0,0.28205128205128205,0.0,0.0,1.0,0.717948717948718,1.717948717948718
2006-10-01 13:33:00,41379.41025641026,2.0,0.0,0.0,0.0,0.0,0.0,7.064102564102564,0.0,0.0,0.2948717948717949,0.0,0.0,1.0,0.7051282051282051,1.705128205128205
2006-10-15 13:33:00,41396.38461538462,2.0,0.0,0.0,0.0,0.0,0.0,7.153846153846153,0.0,0.0,0.3076923076923077,0.0,0.0,1.0,0.6923076923076923,1.6923076923076923
2006-10-29 13:33:00,41413.35897435898,2.0,0.0,0.0,0.0,0.0,0.0,7.243589743589744,0.0,0.0,0.3205128205128205,0.0,0.0,1.0,0.6794871794871795,1.6794871794871795
2006-11-12 13:33:00,41430.333333333336,2.0,0.0,0.0,0.0,0.0,0.0,7.333333333333334,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.6666666666666667,1.6666666666666667
2006-11-26 13:33:00,41447.307692307695,2.0,0.0,0.0,0.0,0.0,0.0,7.423076923076923,0.0,0.0,0.34615384615384615,0.0,0.0,1.0,0.6538461538461539,1.6538461538461537
2006-12-10 13:33:00,41464.282051282054,2.0,0.0,0.0,0.0,0.0,0.0,7.512820512820513,0.0,0.0,0.358974358974359,0.0,0.0,1.0,0.641025641025641,1.641025641025641
2006-12-24 13:33:00,41481.256410256414,2.0,0.0,0.0,0.0,0.0,0.0,7.602564102564102,0.0,0.0,0.3717948717948718,0.0,0.0,1.0,0.6282051282051282,1.6282051282051282
2007-01-07 13:33:00,41498.230769230766,2.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.3846153846153846,0.0,0.0,1.0,0.6153846153846154,1.6153846153846154
2007-01-21 13:33:00,41515.205128205125,2.0,0.0,0.0,0.0,0.0,0.0,7.782051282051282,0.0,0.0,0.3974358974358974,0.0,0.0,1.0,0.6025641025641026,1.6025641025641026
2007-02-04 13:33:00,41532.179487179485,2.0,0.0,0.0,0.0,0.0,0.0,7.871794871794872,0.0,0.0,0.41025641025641024,0.0,0.0,1.0,0.5897435897435898,1.5897435897435899
2007-02-18 13:33:00,41549.153846153844,2.0,0.0,0.0,0.0,0.0,0.0,7.961538461538462,0.0,0.0,0.4230769230769231,0.0,0.0,1.0,0.5769230769230769,1.5769230769230769
2007-03-04 13:33:00,41566.1282051282,2.0,0.0,0.0,0.0,0.0,0.0,8.051282051282051,0.0,0.0,0.4358974358974359,0.0,0.0,1.0,0.5641025641025641,1.564102564102564
2007-03-18 13:33:00,41583.10256410256,2.0,0.0,0.0,0.0,0.0,0.0,8.14102564102564,0.0,0.0,0.4487179487179487,0.0,0.0,1.0,0.5512820512820513,1.5512820512820513
2007-04-01 13:33:00,41600.07692307692,2.0,0.0,0.0,0.0,0.0,0.0,8.23076923076923,0.0,0.0,0.4615384615384615,0.0,0.0,1.0,0.5384615384615385,1.5384615384615385
2007-04-15 13:33:00,41617.05128205128,2.0,0.0,0.0,0.0,0.0,0.0,8.320512820512821,0.0,0.0,0.47435897435897434,0.0,0.0,1.0,0.5256410256410257,1.5256410256410255
2007-04-29 13:33:00,41634.02564102564,2.0,0.0,0.0,0.0,0.0,0.0,8.41025641025641,0.0,0.0,0.48717948717948717,0.0,0.0,1.0,0.5128205128205128,1.5128205128205128
2007-05-13 13:33:00,41651.0,2.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.5
2007-05-27 13:33:00,41667.97435897436,2.0,0.0,0.0,0.0,0.0,0.0,8.58974358974359,0.0,0.0,0.5128205128205128,0.0,0.0,1.0,0.4871794871794872,1.4871794871794872
2007-06-10 13:33:00,41684.94871794872,2.0,0.0,0.0,0.0,0.0,0.0,8.679487179487179,0.0,0.0,0.5256410256410257,0.0,0.0,1.0,0.47435897435897434,1.4743589743589745
2007-06-24 13:33:00,41701.92307692308,2.0,0.0,0.0,0.0,0.0,0.0,8.76923076923077,0.0,0.0,0.5384615384615384,0.0,0.0,1.0,0.46153846153846156,1.4615384615384617
2007-07-08 13:33:00,41718.89743589744,2.0,0.0,0.0,0.0,0.0,0.0,8.85897435897436,0.0,0.0,0.5512820512820512,0.0,0.0,1.0,0.4487179487179488,1.448717948717949
2007-07-22 13:33:00,41735.8717948718,2.0,0.0,0.0,0.0,0.0,0.0,8.948717948717949,0.0,0.0,0.5641025641025641,0.0,0.0,1.0,0.4358974358974359,1.435897435897436
2007-08-05 13:33:00,41752.846153846156,2.0,0.0,0.0,0.0,0.0,0.0,9.038461538461538,0.0,0.0,0.5769230769230769,0.0,0.0,1.0,0.42307692307692313,1.4230769230769231
2007-08-19 13:33:00,41769.820512820515,2.0,0.0,0.0,0.0,0.0,0.0,9.128205128205128,0.0,0.0,0.5897435897435898,0.0,0.0,1.0,0.41025641025641024,1.4102564102564101
2007-09-02 13:33:00,41786.794871794875,2.0,0.0,0.0,0.0,0.0,0.0,9.217948717948719,0.0,0.0,0.6025641025641025,0.0,0.0,1.0,0.39743589743589747,1.3974358974358974
