Approach,Type,MAPE,MAE,MSE,RMSE
svr,NL,28.21,23737.54,2404202632.8,24283.56
L2,L,7.13,4185.51,107735379.43,5619.4
mlr,L,7.03,4186.49,108079492.87,5649.26
xgb,NL,1.89,852.67,10011454.74,1935.43
rf,NL,2.06,804.8,13460975.54,2110.14
sgd,L,40797661.61,10837662307.71,1.9735299284365665e+22,25231386130.11
L1,L,7.2,4263.53,110658872.11,5626.73
