PROJECT,MAPE,MSE,MAE,RMSE
archiva,16.925341967532887,363954678.0978021,15554.558388799527,19077.596234793367
batik,29.55475015971344,1776006827.18117,36442.41336095904,42142.69601225306
bcel,2.5671182810415156,21506751.728078783,1411.0064068511433,4637.537248160793
beanutils,1.6654018953744163,3277685.3689752184,936.51906103213,1810.437894260728
cayenne,9.070143486527813,674634712.2390671,20066.37182839071,25973.731195942317
cocoon,13.046329888202616,2028142231.9083736,36538.42423624609,45034.9001543067
codec,1.1592393106304968,58483.01632823434,191.3237792938961,241.83262048002197
collections,0.8891975486727137,404434.08786093944,445.09217614719233,635.951325072084
commons-cli,15.401611372284574,1445497.3867402312,1172.0421055476404,1202.2883958269877
commons-exec,0.6729843413339751,1644.6935474843312,35.018430701228006,40.5548215072429
commons-fileupload,5.92912952330182,193517.63246453024,328.09477030736696,439.9063905702328
commons-io,7.865931177875779,12502309.029366236,2823.254008745264,3535.860436918606
commons-jelly,8.023096869484974,12100314.581406996,3434.1218831521514,3478.550643789306
commons-jexl,9.330022181976446,3197128.318553773,1363.4123621298513,1788.0515424768307
configuration,3.2693214253594443,3607546.081346079,1403.3208171556237,1899.3541221547073
daemon,2.0578691990537044,7023.768642212251,82.74758272219032,83.80792708456791
dbcp,4.430136401360779,628045.7343704089,650.6135757690936,792.4933655056103
dbutils,0.770712606399613,3260.7831716262644,51.581161038025236,57.10326760901047
digester,0.3285242335834452,10744.20021002355,87.1402714404403,103.65423392232249
felix,1.2006021881041802,12882143.608014328,2840.5732432543755,3589.170323071103
hive,4.949788281138514,1939446006.933609,31388.321958968103,44039.14175973016
httpclient,2.3192612257384893,4631464.9039012985,1448.4868923078145,2152.0838515033047
httpcore,5.765834773317767,48895452.05723706,4180.16977159906,6992.5283022120875
jxpath,3.5886499217782926,1476394.4865254976,1055.8183349209676,1215.0697455395298
net,1.6948473667342048,291631.8058027239,497.4666846569602,540.0294490143328
ognl,2.914701021135864,630719.4495837782,790.8249214528245,794.1784746414235
santuario,6.2008681186038705,127955435.47802569,7460.8911526338015,11311.738835299624
thrift,9.763477669555314,4935830.292068468,2026.3352767301003,2221.6728589215086
validator,3.685405391434703,617041.4822003281,598.3541817617177,785.5198802069418
vfs,1.3641040729447451,272752.0119439156,369.7643359659795,522.2566533266145
zookeeper,3.2721503044435165,7717432.05143488,2040.4666507512957,2778.0266469987073
