PROJECT,MAPE,MSE,MAE,RMSE
archiva,4.003683860065598,75702009.67224084,3888.5923703703734,8700.690183671686
batik,7.55279934266609,498491809.30637753,8490.606666666667,22326.93013619153
bcel,0.959947735513359,1009697.4604937744,522.7076375326504,1004.8370318085289
beanutils,0.09690525795603677,14636.663652674835,55.4579195345847,120.98207988241414
cayenne,1.7224826164352103,20394866.525171436,3782.7942857142853,4516.067595283693
cocoon,3.7320874929763557,491121891.30527365,10357.51052631579,22161.27007428215
codec,0.25922109073046806,9159.978150585497,43.097991311088826,95.70777476561399
collections,0.4433814886693102,423841.9678744131,223.27005102040744,651.0314645809472
commons-cli,0.7437095679618925,5638.641230007674,57.853545988258276,75.09088646438843
commons-exec,0.15475585563193536,75.80211293260349,8.183606557377075,8.706440887791262
commons-fileupload,1.5811095762142204,25074.65509906058,84.36641557075758,158.34978717718752
commons-io,4.049721570005209,5684743.644313427,1541.814305555556,2384.2700443350427
commons-jelly,1.96191743596153,29674524.994738773,841.8336548560058,5447.4328811596
commons-jexl,1.0173700760686448,65436.972913977326,147.98475514537975,255.80651460425577
configuration,0.48727901383690275,304252.00870878826,207.85866628121383,551.5904356574616
daemon,2.006151670302027,6680.767072156201,80.67129629629702,81.73595948024469
dbcp,1.1208135669822037,82048.53903626517,157.37671546546497,286.44116156073864
dbutils,0.16507825113714708,368.8464152543555,11.013112591431607,19.205374644988197
digester,0.10709226216394953,8939.201908660996,28.04690413110116,94.54735273216801
felix,1.7871090216748469,35767679.30717777,4229.923333333333,5980.608606753812
hive,3.1976153739205087,673669866.7693802,18848.02516129032,25955.15106427586
httpclient,2.0347779168840843,10149595.369202893,1270.6361870748294,3185.842960536959
httpcore,1.62940257527285,8514072.670737028,1237.8366103494075,2917.888392440161
jxpath,0.09719500481804676,1056.7492035658352,28.490466262702803,32.507679147638875
net,0.6776303282078624,66052.71730969335,201.08166748610776,257.00723201827094
ognl,2.8661471217221743,609538.9270022509,777.4467916992414,780.7297400523762
santuario,0.37234409446928596,681641.494813557,446.31694015444236,825.6158276181222
thrift,0.6540197912714633,51331.92061242935,135.9090350877226,226.56548857323648
validator,0.448635675842902,21512.160889468993,75.13494940927524,146.67024541286142
vfs,0.34777586432197694,41081.98916961968,94.0017128427139,202.68692402229522
zookeeper,0.8271988376733166,319736.03936000285,524.0559999999998,565.452066368143
